Time,Amplitude
0.00025,1.2273044089884255
0.0005,1.254598423582073
0.00075,1.1668716507300136
0.001,1.0101137000688267
0.00125,0.8303141852658742
0.0015,0.6758627253619996
0.00175,0.5705489461134603
0.002,0.5285624813329013
0.00225,0.5514929742291796
0.0025,0.6313300787458485
0.00275,0.7540634608981063
0.003,0.9016828001080276
0.00325,1.0571777905378765
0.0035,1.2075381424213207
0.00375,1.3467535833923476
0.004,1.4729138598117038
0.00425,1.5886087380906542
0.0045,1.6977280060118893
0.00475,1.802661474047378
0.005,1.9054989766729824
0.00525,2.007830373679653
0.0055,2.1106455514810087
0.00575,2.214454424417122
0.006,2.319446936054315
0.00625,2.4251930604807974
0.0065,2.531842803597941
0.00675,2.6395262044070225
0.007,2.7482333362912454
0.00725,2.857954308292857
0.0075,2.968679266385188
0.00775,3.0801983947394174
0.008,3.1924019169858964
0.00825,3.3062800974698514
0.0085,3.419823242501272
0.00875,3.5330217015988348
0.009,3.64686586872765
0.00925,3.7613461835306943
0.0095,3.8744531325537173
0.00975,3.986177250463476
0.01,4.0975091212591135
0.01025,4.207439379476506
0.0105,4.314958711385415
0.01075,4.420057856179274
0.011,4.522727607157428
0.01125,4.622958812899691
0.0115,4.719742378433005
0.01175,4.8140692663900895
0.012,4.903930498159877
0.01225,4.9913171550295905
0.0125,5.074220379318301
0.01275,5.152631375501793
0.013,5.228541411328601
0.01325,5.299941818927036
0.0135,5.369823995903055
0.01375,5.436179406428833
0.014,5.499999582321852
0.01425,5.562276124114388
0.0145,5.622000702113233
0.01475,5.680165057449483
0.015,5.737761003118291
0.01525,5.793780425008386
0.0155,5.848215282921246
0.01575,5.903057611579786
0.016,5.957299521626386
0.01625,6.010933200610169
0.0165,6.065950913963329
0.01675,6.12034500596644
0.017,6.174707900702557
0.01725,6.230232102999999
0.0175,6.286610199363691
0.01775,6.3439348588949045
0.018,6.402198834199314
0.01825,6.4613249622831965
0.0185,6.521136165437667
0.01875,6.58155545211086
0.019,6.642605917767871
0.01925,6.704060745738408
0.0195,6.765913208051968
0.01975,6.828056666260485
0.02,6.890384572248298
0.02025,6.952890469029342
0.0205,7.015367991531439
0.02075,7.0779108673676
0.021,7.140312917594226
0.02125,7.2024680574560875
0.0215,7.264470297118003
0.02175,7.32601374238312
0.022,7.387292595397653
0.02225,7.448001155342062
0.0225,7.508133819108504
0.02275,7.567685081964503
0.023,7.626649538202753
0.02325,7.6849218817769325
0.0235,7.742596906923496
0.02375,7.799669508769303
0.024,7.85623468392505
0.02425,7.912487531064398
0.0245,7.968323251488735
0.02475,8.023937149677478
0.025,8.079524633823876
0.02525,8.135281216356194
0.0255,8.191202514444276
0.02575,8.247594250491344
0.026,8.304662252611035
0.02625,8.36261245508957
0.0265,8.421750898833038
0.02675,8.482233731799665
0.027,8.543857209417132
0.02725,8.606417694984735
0.0275,8.669811660060496
0.02775,8.733635684833027
0.028,8.797486458478245
0.02825,8.860460779500762
0.0285,8.921555556060014
0.02875,8.980767806281008
0.029,9.038094658549712
0.02925,9.090533351793024
0.0295,9.139081235743284
0.02975,9.181735771187306
0.03,9.218494530199917
0.03025,9.250355196361953
0.0305,9.276315564962681
0.03075,9.29637354318669
0.031,9.312527150285137
0.03125,9.323774517731428
0.0315,9.331113889361221
0.03175,9.33654362149684
0.032,9.339062183056026
0.03225,9.340668155645009
0.0325,9.342360233635972
0.03275,9.344137224228808
0.033,9.346898047497245
0.03325,9.351141736419303
0.0335,9.356867436892097
0.03375,9.363874407730993
0.034,9.371492020653141
0.03425,9.378569760245357
0.0345,9.38367722391641
0.03475,9.385104121833717
0.035,9.380610276844452
0.03525,9.367895624381092
0.0355,9.347060212351458
0.03575,9.322804201013218
0.036,9.30162786283292
0.03625,9.296531582329587
0.0365,9.319515855902877
0.03675,9.383581291645868
0.037,9.5045286091425
0.03725,9.685958639249707
0.0375,9.919272323864275
0.03775,10.179670715674488
0.038,10.431154977896592
0.03825,10.620726383996141
0.0385,10.71338631739424
0.03875,10.675136271158795
0.039,10.510977847680763
0.03925,10.266912758335497
0.0395,9.989942823129253
0.03975,9.72606997033087
0.04,9.506796236088752
0.04025,9.348623764033155
0.0405,9.255054804863901
0.04075,9.222591715923565
0.041,9.232236960756161
0.04125,9.266993108651523
